Molecule  dE(S0-S1)  dE(S0-T1)  dE(S1-T1)  f12(S0-S1)
S710      2.2870     2.1370     0.1500     0.1464
S711      1.8920     1.8200     0.0720     0.0946
S712      2.2910     2.1300     0.1610     0.1632
S713      2.4490     2.2880     0.1610     0.1901
S714      2.3910     2.1950     0.1960     0.1825
S715      2.8790     2.6680     0.2110     0.3082
S716      2.0100     1.9600     0.0500     0.0950
S717      2.6390     2.5440     0.0950     0.2268
S718      2.3410     2.2230     0.1180     0.1506
S719      2.4430     2.3530     0.0900     0.6130
S720      2.4920     2.3840     0.1080     0.7002
S721      2.4470     2.3600     0.0870     0.5662
S722      2.4940     2.3890     0.1050     0.6365
S723      2.4370     2.3500     0.0870     0.6359
S724      2.4390     2.3500     0.0890     0.6168
S725      2.4410     2.3550     0.0860     0.6139
S726      2.4860     2.3810     0.1050     0.7248
S727      2.4880     2.3800     0.1080     0.7121
S728      2.4910     2.3850     0.1060     0.7027
S729      2.4860     2.3990     0.0870     0.6605
S730      2.4440     2.3670     0.0770     0.6273
S731      2.5150     2.4330     0.0820     0.6374
S732      2.5020     2.4170     0.0850     0.6627
S733      2.5380     2.4670     0.0710     0.5004
S734      2.5110     2.4440     0.0670     0.5681
S735      2.5260     2.4430     0.0830     0.5675
S736      2.5200     2.4430     0.0770     0.5745
S737      2.5390     2.4530     0.0860     0.5025
S738      2.5360     2.4530     0.0830     0.5117
S739      2.5410     2.4470     0.0940     0.5375
S740      2.5280     2.4670     0.0610     0.4028
S741      2.4540     2.3810     0.0730     0.6198
S742      2.4900     2.4100     0.0800     0.6720
S743      2.4910     2.4110     0.0800     0.6270
S744      2.4940     2.4160     0.0780     0.6484
S745      2.5040     2.4320     0.0720     0.5352
S746      2.4630     2.4000     0.0630     0.5031
S747      2.4990     2.4160     0.0830     0.6675
S748      2.5150     2.4240     0.0910     0.6424
S749      2.4890     2.4090     0.0800     0.6989
S750      2.5460     2.4660     0.0800     0.4966
S751      2.5040     2.4200     0.0840     0.6630
S752      2.5560     2.4840     0.0720     0.4341
S753      2.5220     2.4170     0.1050     0.7358
S754      2.5210     2.4270     0.0940     0.6348
S755      2.5380     2.4490     0.0890     0.5173
S756      2.5260     2.4240     0.1020     0.6598
S757      2.5200     2.4270     0.0930     0.6300
S758      2.5240     2.4590     0.0650     0.4511
S759      2.5180     2.4280     0.0900     0.6182
S760      2.5390     2.4350     0.1040     0.6011
S761      2.5430     2.4510     0.0920     0.5104
S762      2.5420     2.4690     0.0730     0.4840
S763      2.5260     2.4380     0.0880     0.5874
S764      2.5130     2.4620     0.0510     0.3913
S765      2.4870     2.4090     0.0780     0.7132
S766      2.4810     2.4060     0.0750     0.7261
S767      2.4860     2.4090     0.0770     0.7212
S768      2.4960     2.4170     0.0790     0.7237
S769      2.3900     2.3280     0.0620     0.6608
S770      2.4350     2.3550     0.0800     0.7491
S771      2.5410     2.4590     0.0820     0.6578
S772      2.4980     2.4240     0.0740     0.6579
S773      2.5240     2.4420     0.0820     0.6806
S774      2.4840     2.4280     0.0560     0.6157
S775      2.4320     2.3820     0.0500     0.6044
S776      2.4660     2.4080     0.0580     0.6467
S777      2.4910     2.4310     0.0600     0.6342
S778      2.4470     2.3940     0.0530     0.6257
S779      2.4770     2.4150     0.0620     0.6602
S780      2.4930     2.4250     0.0680     0.6289
S781      2.5410     2.4650     0.0760     0.6368
S782      2.5120     2.4390     0.0730     0.6574
S783      2.5080     2.4420     0.0660     0.6284
S784      2.5250     2.4470     0.0780     0.6729
S785      2.5000     2.4210     0.0790     0.7054
S786      2.4990     2.4300     0.0690     0.6493
S787      2.4270     2.3880     0.0390     0.5715
S788      2.4360     2.3940     0.0420     0.5889
S789      2.5100     2.4480     0.0620     0.6158
S790      2.4830     2.4220     0.0610     0.6391
S791      2.4820     2.4280     0.0540     0.5963
S792      2.4920     2.4350     0.0570     0.6036
S793      2.4520     2.3960     0.0560     0.6155
S794      2.4600     2.4120     0.0480     0.5682
S795      2.4230     2.3710     0.0520     0.6131
S796      2.4230     2.3750     0.0480     0.6165
S797      2.4290     2.3910     0.0380     0.5632
S798      2.4050     2.3680     0.0370     0.5679
S799      2.4350     2.3960     0.0390     0.5651
S800      2.4210     2.3800     0.0410     0.5886
S801      2.4370     2.3970     0.0400     0.5796
S802      2.4130     2.3740     0.0390     0.5853
S803      2.4420     2.4010     0.0410     0.5829
S804      2.4320     2.3860     0.0460     0.6114
S805      2.3960     2.3530     0.0430     0.5965
S806      2.3770     2.3430     0.0340     0.5621
S807      2.4040     2.3600     0.0440     0.6172
S808      2.3850     2.3520     0.0330     0.5797
S809      2.4000     2.3590     0.0410     0.5861
S810      2.3920     2.3550     0.0370     0.5726
S811      2.4000     2.3710     0.0290     0.5354
S812      2.4090     2.3670     0.0420     0.6052
S813      2.3990     2.3620     0.0370     0.5898
S814      2.4130     2.3800     0.0330     0.5630
S815      2.6580     2.5490     0.1090     0.2537
S816      2.6280     2.5410     0.0870     0.2068
S817      2.6290     2.5420     0.0870     0.2174
S818      2.6190     2.5400     0.0790     0.1909
S819      2.6340     2.5450     0.0890     0.2175
S820      2.6310     2.5360     0.0950     0.2368
S821      2.5960     2.5260     0.0700     0.2636
S822      2.5640     2.5110     0.0530     0.1736
S823      2.6400     2.6380     0.0020     0.2536
S824      2.7440     2.7730     -0.0290    0.3075
S825      2.5960     2.5270     0.0690     0.2567
S826      2.7990     2.8490     -0.0500    0.2582
S827      2.5070     2.3710     0.1360     0.2356
S828      2.3620     2.1390     0.2230     0.2896
S829      2.8830     2.9120     -0.0290    0.2242
S830      2.4420     1.9730     0.4690     0.3135
S831      2.6020     2.5280     0.0740     0.2868
S832      2.5930     2.5260     0.0670     0.2487
S833      2.5510     2.3170     0.2340     0.3177
S834      2.3820     2.2060     0.1760     0.2416
S835      2.6660     2.5900     0.0760     0.1849
S836      2.5380     2.4730     0.0650     0.2388
S837      2.8040     2.5870     0.2170     1.5105
S838      2.6090     2.5310     0.0780     0.3003
S839      2.9480     2.7690     0.1790     0.1056
S840      2.6170     2.5330     0.0840     0.3549
S841      2.5500     2.5050     0.0450     0.1902
S842      2.5670     2.5140     0.0530     0.2108
